Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases per 1M population,Deaths per 1M population,Total Tests,Tests per 1M population,Population
Afghanistan,140224,6098,86963,47163,3520,153,674862,16941,39835467
Armenia,227298,4559,218242,4497,76557,1536,1263393,425528,2969001
Azerbaijan,337970,4990,331112,1868,33024,488,3894683,380561,10234051
Bahrain,267727,1379,265386,962,151895,782,5245238,2975892,1762577
Bangladesh,1083922,17465,914343,152114,6514,105,7186367,43189,166392351
Bhutan,2398,2,2038,358,3073,3,798573,1023255,780424
Brunei,283,3,260,20,641,7,147357,333517,441827
Cambodia,66336,1076,57955,7305,3912,63,1632339,96253,16958900
China,92213,4636,87039,538,64,3,160000000,111163,1439323776
Cyprus,89410,384,73452,15574,73499,316,8718126,7166641,1216487
Georgia,386195,5538,363318,17339,97005,1391,6289687,1579847,3981200
Hong Kong,11957,212,11677,68,1582,28,20432586,2702674,7560136
India,31064908,413123,30227792,423993,22283,296,442021954,317069,1394086861
Indonesia,2832755,72489,2232394,527872,10244,262,23153859,83731,276525194
Iran,3485940,86791,3101618,297531,40959,1020,24892912,292486,85108041
Iraq,1474865,17751,1340383,116731,35836,431,12431498,302055,41156416
Israel,850104,6444,837394,6266,91154,691,15748346,1688650,9326000
Japan,834618,15027,795388,24203,6620,119,17458236,138477,126073556
Jordan,760161,9879,742065,8217,73743,958,8194511,794946,10308266
Kazakhstan,483412,4909,427237,51266,25430,258,11575012,608900,19009710
Kuwait,383347,2193,363992,17162,88409,506,3210665,740459,4336048
Kyrgyzstan,147656,2165,124058,21433,22252,326,1437874,216686,6635740
Laos,3295,4,2174,1117,446,0.5,305013,41302,7385020
Lebanon,550004,7883,535051,7070,80959,1160,4731376,696443,6793630
Macao,55,,53,2,84,,4580,6955,658514
Malaysia,893323,6728,772542,114053,27239,205,16140934,492160,32796121
Maldives,75736,216,72930,2590,137600,392,1090089,1980514,550407
Mongolia,145787,726,125882,19179,43740,218,3398059,1019518,3333004
Myanmar,218739,4536,155959,58244,3992,83,2943462,53724,54788655
Nepal,664576,9506,628243,26827,22392,320,3456199,116450,29679675
Oman,289042,3498,263752,21792,55151,667,1550000,295751,5240904
Pakistan,986668,22760,918329,45579,4379,101,15345158,68100,225333825
Palestine,315504,3585,310329,1590,60394,686,1939099,371184,5224094
Philippines,1502359,26598,1428504,47257,13523,239,15809298,142306,111093687
Qatar,224044,599,221913,1532,79793,213,2251914,802019,2807805
S. Korea,176500,2055,157960,16485,3440,40,11149226,217270,51315067
Saudi Arabia,507423,8048,488346,11029,14344,227,23537626,665359,35375850
Singapore,62981,36,62498,447,10678,6,14751144,2500991,5898120
Sri Lanka,282060,3702,254871,23487,13115,172,4136675,192345,21506552
Syria,25821,1903,21906,2012,1439,106,103566,5773,17940335
Taiwan,15390,764,13509,1117,645,32,3174787,133050,23861593
Tajikistan,14000,110,13631,259,1435,11,,,9759302
Thailand,391989,3240,278184,110565,5601,46,8129670,116168,69982052
Timor-Leste,10049,26,9213,810,7474,19,95046,70695,1344451
Turkey,5514373,50450,5375262,88661,64661,592,64407034,755235,85280833
UAE,657884,1892,635759,20233,65694,189,62158296,6206911,10014369
Uzbekistan,118881,793,113825,4263,3499,23,1377915,40560,33972114
Vietnam,46292,225,10020,36047,471,2,8434266,85847,98247796
Yemen,6972,1366,4154,1452,229,45,129069,4231,30505733
